,date,open,high,low,close,volumn,tic,openinterest,day
646,2020-07-17,96.35,96.53,95.01,90.3,2861600,AXP,0,4
647,2020-07-20,94.8,95.36,93.58,89.18,3560100,AXP,0,0
648,2020-07-21,95.25,97.46,94.73,91.39,4227100,AXP,0,1
649,2020-07-22,95.81,97.41,95.38,91.59,4360300,AXP,0,2
650,2020-07-23,95.51,97.78,95.51,91.71,4239800,AXP,0,3
651,2020-07-24,95.3,97.15,93.3,90.44,4790300,AXP,0,4
652,2020-07-27,94.64,95.98,93.64,90.88,3501800,AXP,0,0
653,2020-07-28,95.76,96.29,94.18,89.58,3567400,AXP,0,1
654,2020-07-29,94.71,96.75,94.44,91.73,2791700,AXP,0,2
655,2020-07-30,94.68,94.78,92.5,89.8,3856300,AXP,0,3
656,2020-07-31,94.31,94.45,92.23,88.54,4088200,AXP,0,4
657,2020-08-03,93.31,94.4,92.44,88.75,2869000,AXP,0,0
658,2020-08-04,93.49,93.8,92.49,88.41,2415100,AXP,0,1
659,2020-08-05,93.82,95.58,93.81,90.5,2844900,AXP,0,2
660,2020-08-06,95.18,96.27,94.48,91.0,2698800,AXP,0,3
661,2020-08-07,95.29,99.3,94.95,94.08,4690700,AXP,0,4
662,2020-08-10,99.49,102.65,99.26,96.41,5254800,AXP,0,0
663,2020-08-11,103.99,105.7,102.96,97.97,4744000,AXP,0,1
664,2020-08-12,104.76,104.8,100.68,96.47,3407800,AXP,0,2
665,2020-08-13,100.53,101.83,99.5,95.27,3265400,AXP,0,3
666,2020-08-14,99.66,101.29,99.27,95.26,1956500,AXP,0,4
667,2020-08-17,99.92,100.0,97.44,92.55,7488500,AXP,0,0
668,2020-08-18,98.19,98.83,96.47,91.71,3337300,AXP,0,1
669,2020-08-19,96.82,97.91,95.89,91.92,3079600,AXP,0,2
670,2020-08-20,95.74,97.58,95.68,91.76,3102500,AXP,0,3
671,2020-08-21,96.49,97.65,95.96,91.22,2845100,AXP,0,4
672,2020-08-24,96.68,99.37,96.39,94.24,4141100,AXP,0,0
673,2020-08-25,100.62,100.79,98.03,93.97,2946600,AXP,0,1
674,2020-08-26,98.56,99.14,97.81,93.36,2936500,AXP,0,2
675,2020-08-27,98.76,102.14,98.53,96.33,3992100,AXP,0,3
676,2020-08-28,102.15,102.9,100.74,97.28,4382900,AXP,0,4
677,2020-08-31,102.9,102.9,101.36,96.38,4665800,AXP,0,0
678,2020-09-01,100.54,102.78,100.16,97.22,3142500,AXP,0,1
679,2020-09-02,102.58,104.87,102.29,99.05,3536900,AXP,0,2
680,2020-09-03,104.97,109.03,103.85,99.11,6747900,AXP,0,3
681,2020-09-04,106.35,108.28,104.48,100.25,5235100,AXP,0,4
682,2020-09-08,104.42,105.08,103.3,98.36,4517000,AXP,0,1
683,2020-09-09,104.57,104.71,102.69,98.46,2474700,AXP,0,2
684,2020-09-10,104.19,105.11,102.31,97.5,3288900,AXP,0,3
685,2020-09-11,102.91,103.85,102.01,98.06,2604400,AXP,0,4
686,2020-09-14,104.65,107.69,104.22,101.77,3620100,AXP,0,0
687,2020-09-15,107.84,108.12,106.24,101.21,3371500,AXP,0,1
688,2020-09-16,106.73,107.49,104.69,100.55,5798900,AXP,0,2
689,2020-09-17,104.27,105.35,103.32,99.3,3215300,AXP,0,3
690,2020-09-18,104.46,106.12,103.31,98.14,6630300,AXP,0,4
691,2020-09-21,100.6,100.63,96.22,93.14,8339900,AXP,0,0
692,2020-09-22,98.01,99.78,96.41,93.43,4884400,AXP,0,1
693,2020-09-23,95.76,97.1,95.09,90.66,9427200,AXP,0,2
694,2020-09-24,95.34,96.9,93.71,90.56,4249000,AXP,0,3
695,2020-09-25,94.68,96.85,94.46,91.33,2775600,AXP,0,4
696,2020-09-28,99.0,99.73,98.63,93.75,3930900,AXP,0,0
697,2020-09-29,98.74,99.35,97.23,92.74,3200400,AXP,0,1
698,2020-09-30,98.23,101.52,98.23,95.11,5060900,AXP,0,2
699,2020-10-01,100.33,101.48,99.37,96.14,4179300,AXP,0,3
700,2020-10-02,99.78,103.14,98.63,96.4,3783300,AXP,0,4
