,ts_code,name,enname,classify,list_date,delist_date
1154,ANFGF,,ANTOFAGASTA (OTC),EQ,20140113,NaT
1155,ANFIF,,AMIRA NATURE FOODS,EQ,20121010,NaT
1156,ANGCF,,EON LITHIUM (OTC),EQ,20140113,NaT
1157,ANGGF,,ANGANG STEEL 'H' (OTC),EQ,20140113,NaT
1158,ANGH,,ANGHAMI,EQ,20200821,NaT
1159,ANGI,,ANGI A,EQ,20111117,NaT
1160,ANGO,,ANGIODYNAMICS,EQ,20040309,NaT
1161,ANGPRA,,AMER.NAT.GP.1000 DEPY. SHS.,EQ,20191115,NaT
1162,ANGPRB,,AMER.NAT.GP.1000 DEPY. SHS.,EQ,20200611,NaT
1163,ANGPY,,ANGLO AMERICAN PLATINUM ADR 6:1,ADR,19770415,NaT
1164,ANGVF,,ANGUS GOLD (OTC),EQ,20200622,NaT
1165,ANHGY,,MEDICLINIC INTERNATIONAL ADR 1:1,ADR,20160428,
1166,ANICF,,ANONYMOUS (OTC) INTELLIGENCE COMPANY,EQ,20190801,NaT
1167,ANIK,,ANIKA THERAPEUTICS,EQ,19930524,NaT
1168,ANIOY,,ACERINOX UNSP.ADR 2:1,ADR,20081023,NaT
1169,ANIP,,ANI PHARMACEUTICALS,EQ,20010724,NaT
1170,ANIX,,ANIXA BIOSCIENCES,EQ,20131225,NaT
1171,ANKM,,ANKAM,EQ,20231207,NaT
1172,ANKOF,,ANGKOR RESOURCES (OTC),EQ,20130122,NaT
1173,ANL,,ADLAI NORTYE AMER. DEPY. SHS.1:3,ADR,20230929,NaT
1174,ANLBF,,ANTON RESOURCES (OTC),EQ,20110202,NaT
1175,ANLDF,,ANFIELD ENERGY (OTC),EQ,20120223,NaT
1176,ANMP,,ANACOMP,EQ,20141124,NaT
1177,ANNSF,,AENA (OTC),EQ,20150504,NaT
1178,ANNX,,ANNEXON,EQ,20200724,NaT
1179,ANPCF,,ANGLE (OTC),EQ,20140123,NaT
1180,ANPCY,,ANGLE SPONSORED ADR 1:10,ADR,20150428,NaT
1181,ANPDF,,ANTA SPORTS (OTC) PRODUCTS,EQ,20070622,NaT
1182,ANPDY,,ANTA SPORTS PRDS.UNSP. ADR 1:25,ADR,20081015,NaT
1183,ANPFF,,ANPULO FOOD,EQ,20141231,
1184,ANPMF,,ANDEAN PRECIOUS (OTC) METALS,EQ,20210617,NaT
1185,ANRGF,,ANAERGIA (OTC),EQ,20210820,NaT
1186,ANRO,,ALTO NEUROSCIENCE,EQ,20240202,NaT
1187,ANSC,,AGRIC.& NTRL.SLTN. ACQ.A,EQ,20240103,NaT
1188,ANSCU,,AGRIC.NTRL.SLTN. ACQ. UTS.,EQ,20231109,NaT
1189,ANSCW,,AGRIC.& NTRL.SLTN. ACQ. EQ.WARRT.EXP,EQ,20240111,NaT
1190,ANSLF,,ANSELL (OTC),EQ,19781130,NaT
1191,ANSLY,,ANSELL SPN.ADR 1:4,ADR,20071001,NaT
1192,ANSNF,,ANSON RESOURCES (OTC),EQ,20210602,NaT
1193,ANSS,,ANSYS,EQ,19960619,NaT
1194,ANSU,,AMANASU TECHNOLOGIES,EQ,20050905,NaT
1195,ANTCF,,AION THERAPEUTIC (OTC),EQ,20210421,NaT
1196,ANTE,,AIRNET TECH.AMER. DEPY. SHS.1:1,ADR,20071026,NaT
1197,ANTGF,,ADVANTAGEWON OIL (OTC),EQ,20171023,NaT
1198,ANTH,,ANTHERA PHARMACEUTICALS,EQ,20100301,NaT
1199,ANTI,,ANTIGENICS,EQ,19881014,NaT
1200,ANTMF,,ANTILLES GOLD (OTC),EQ,20120430,NaT
1201,ANTOF,,IIDA GROUP HOLDINGS(OTC),EQ,20150305,NaT
1202,ANTVF,,ANTARES VISION (OTC) ORD SHS,EQ,20231207,NaT
1203,ANTX,,AN2 THERAPEUTICS,EQ,20220325,NaT
1204,ANVS,,ANNOVIS BIO,EQ,20200129,NaT
1205,ANVV,,ANVIA HOLDINGS,EQ,20180202,NaT
1206,ANY,,SPHERE 3D,EQ,20130812,NaT
1207,ANYCF,,ANYCOLOR (OTC),EQ,20240125,NaT
1208,ANYYY,,AENA SME ADR 10:1,ADR,20210310,NaT
1209,ANZFF,,AIR NEW ZEALAND (OTC),EQ,20011207,NaT
1210,ANZGF,,ANZ GROUP HOLDINGS (OTC),EQ,20230207,NaT
1211,ANZGY,,ANZ GROUP HLDGS ADR 1:1,ADR,19890206,NaT
1212,ANZLY,,AIR NEW ZEALAND ADR 1:5,ADR,20160407,NaT
1213,ANZUU,,ANZU SPECIAL ACQUISITION I UNITS,EQ,20210302,
1214,AOAO,,ALPHA ONE,EQ,20120322,NaT
1215,AOBI,,AMERICAN ORNTL.BIOENG.,EQ,20120529,NaT
1216,AOCIF,,AUTOCANADA (OTC),EQ,20120502,NaT
1217,AOECF,,AFERIAN (OTC),EQ,20200316,NaT
1218,AOGC,,AUST.OIL & GAS,EQ,20030812,NaT
1219,AOGO,,AROGO CAPITAL ACQUISITION A,EQ,20220211,NaT
1220,AOGOU,,AROGO CAPITAL ACQUISITION UNITS,EQ,20211227,NaT
1221,AOGOW,,AROGO CAP.ACQ.EQ. WARRT. EXP 23RD DEC 2026,EQ,20220211,NaT
1222,AOHLF,,AUTOHELLAS (OTC),EQ,20200416,NaT
1223,AOIFF,,AFRICA OIL (OTC),EQ,19600101,NaT
1224,AOLS,,AEOLUS PHARMS.,EQ,19960201,NaT
1225,AOMFF,,ALSTOM (OTC),EQ,20140113,NaT
1226,AOMR,,ANGEL OAK MORTGAGE REIT,EQ,20210617,NaT
1227,AOMUF,,ACSL (OTC),EQ,20220713,
1228,AON,,AON CLASS A,EQ,19800530,NaT
1229,AONC,,AMERICAN ONCOLOGY NETWORK,EQ,20210505,NaT
1230,AONCW,,AMERICAN ONCOLOGY NETWORK EQUITY WARRANT,EQ,20210513,NaT
1231,AONNF,,AEON (OTC),EQ,19740924,NaT
1232,AONNY,,AEON ADR.1:1,ADR,19900928,NaT
1233,AOOO,,AUTOCO,EQ,19990614,NaT
1234,AOREF,,AMERICAN OVERSEAS GROUP,EQ,20060426,NaT
1235,AORGF,,ARGOS RESOURCES (OTC),EQ,20100924,NaT
1236,AORT,,ARTIVION,EQ,19930212,NaT
1237,AOS,,SMITH (AO),EQ,19830930,NaT
1238,AOSL,,ALPHA AND OMEGA SEMICON.,EQ,20100430,NaT
1239,AOTOF,,ANOTO GROUP (OTC),EQ,20000313,NaT
1240,AOTUF,,PRECINCT PROPS.NZ (OTC) &INVS.,EQ,20140113,NaT
1241,AOTVF,,ASCOT RESOURCES (OTC),EQ,20140113,NaT
1242,AOUT,,AMERICAN OUTDOOR BRANDS,EQ,20200821,NaT
1243,AOVTF,,ANDOVER MINING (OTC),EQ,20140113,NaT
1244,AOXG,,AOXING PHARM.,EQ,20000822,NaT
1245,AOXY,,ADVD.OXYGEN TECHS.,EQ,19810716,NaT
1246,AOZOF,,AOZORA BANK (OTC),EQ,20140425,NaT
1247,AOZOY,,AOZORA BANK ADR 4:1,ADR,20120827,NaT
1248,AP,,AMPCO PITTSBURGH,EQ,19620702,NaT
1249,APA,,APA,EQ,19630802,NaT
1250,APAAF,,APPIA RARE EARTHS (OTC) AND URANIUM,EQ,20170113,NaT
1251,APACU,,STONEBRIDGE ACQUISITION UNITS,EQ,20210716,
1252,APAJF,,APA GROUP (OTC),EQ,20000517,NaT
1253,APAM,,ARTISAN PTNS.ASTMGMT.,EQ,20130307,NaT
1254,APCA,,AP ACQUISITION A,EQ,20220207,NaT
1255,APCA.U,,AP ACQUISITION UNITS,EQ,20211217,NaT
1256,APCDF,,A-CAP ENERGY (OTC),EQ,20140113,
1257,APCFF,,ATLAS PEARLS (OTC),EQ,20140113,NaT
1258,APCOF,,AMERICAN POTASH (OTC),EQ,20130729,NaT
1259,APCX,,APPTECH PAYMENTS,EQ,19970207,NaT
1260,APD,,AIR PRDS.& CHEMS.,EQ,19620702,NaT
1261,APDN,,APPLIED DNA SCIENCES,EQ,19991101,NaT
1262,APE,,AMC ENTM.HLDG PREF. EQ. UTS.DEPY.SHRE.REP 1 1,EQ,20220822,
1263,APEI,,AMERICAN PUBLIC ED.,EQ,20071106,NaT
1264,APELF,,ALPS ALPINE (OTC),EQ,20160502,NaT
1265,APELY,,ALPS ALPINE ADR 1:2,ADR,20010109,NaT
1266,APEMY,,APERAM NEW YORK REG 1:1,ADR,20110126,NaT
1267,APEOF,,COLOURED TIES (OTC) CAPITAL,EQ,19600101,NaT
1268,APETF,,ALPHAGEN (OTC) INTELLIGENCE A,EQ,20210615,NaT
1269,APEUF,,ATLAS ENGD.PRDS. (OTC),EQ,20100813,NaT
1270,APG,,API GROUP,EQ,20171011,NaT
1271,APGB,,APOLLO STRATEGIC GROWTH CAPITAL II A,EQ,20210405,
1272,APGB.U,,APOLLO STRATEGIC GROWTH CAPITAL II UNITS,EQ,20210210,
1273,APGE,,APOGEE THERAPEUTICS,EQ,20230714,NaT
1274,APGI,,AMERICAN POWER GROUP,EQ,19951005,NaT
1275,APGMF,,APPLIED GRAPHENE (OTC) MATS.,EQ,20140115,NaT
1276,APGN,,APEXIGEN,EQ,20210222,
1277,APGNW,,APEXIGEN EQUITY WARRANT 29TH JULY 2027,EQ,20210222,
1278,APGOF,,APOLLO SILVER (OTC),EQ,20200803,NaT
1279,APGT,,APPGATE,EQ,20101203,NaT
1280,APH,,AMPHENOL 'A',EQ,19911108,NaT
1281,APHD,,APOGEE 21 HLDGS,EQ,20100913,NaT
1282,APHLF,,ALPHA LITHIUM A (OTC),EQ,20210806,
1283,APHP,,AMERICAN PICTURE HOUSE,EQ,19990913,NaT
1284,APHTF,,ALPHINAT (OTC),EQ,20170125,NaT
1285,API,,AGORA ADR 1:4,ADR,20200626,NaT
1286,APLD,,APPLIED DIGITAL,EQ,20020115,NaT
1287,APLE,,APPLE HOSPITALITY REIT,EQ,20150518,NaT
1288,APLIF,,APPILI THERAPEUTICS(OTC) A,EQ,20200520,NaT
1289,APLM,,APOLLOMICS A,EQ,20211126,NaT
1290,APLN,,AE HOLDING I,EQ,20040323,NaT
1291,APLO,,APOLLO BANCORP,EQ,20031024,NaT
1292,APLS,,APELLIS PHARMS.,EQ,20171109,NaT
1293,APLT,,APPLIED THERAPEUTICS,EQ,20190514,NaT
1294,APLUF,,APPLUS SERVICIOS (OTC) TECHNOLOGICOS,EQ,20200624,NaT
1295,APM,,APTORUM GROUP A,EQ,20181218,NaT
1296,APMCF,,MORIEN RESOURCES (OTC),EQ,19600101,NaT
1297,APMFF,,EAGLE GRAPHITE (OTC),EQ,19600101,NaT
1298,APMI,,AXONPRIME INFR.ACQ. A,EQ,20211006,
1299,APMIU,,AXONPRIME INFR.ACQ. UTS.,EQ,20210813,
1300,APMLF,,APARTMENTLOVE (OTC),EQ,20220120,NaT
1301,APMRF,,AMPER (OTC),EQ,20170320,NaT
1302,APMSF,,APERAM (OTC),EQ,20120522,NaT
1303,APNC,,APEIRON CAPITAL INVESTMENT A,EQ,20211230,
1304,APNCU,,APEIRON CAPITAL INVESTMENT UNITS,EQ,20211109,
1305,APNHF,,ASPEN PHMCR.HDG. (OTC),EQ,20140113,NaT
1306,APNHY,,ASPEN PHARMACARE HDG. UNSP.ADR 1:1,ADR,20090123,NaT
1307,APO,,APOLLO GLOBAL MANAGEMENT,EQ,20110331,NaT
1308,APOG,,APOGEE ENTERPRISES,EQ,19721214,NaT
1309,APP,,APPLOVIN A,EQ,20210415,NaT
1310,APPB,,APPLIED BIOSCIENCES,EQ,20160602,NaT
1311,APPCF,,APAC RESOURCES (OTC),EQ,20170316,NaT
1312,APPEF,,APPEN (OTC),EQ,20180403,NaT
1313,APPF,,APPFOLIO CLASS A,EQ,20150626,NaT
1314,APPH,,APPHARVEST,EQ,20200613,
1315,APPIF,,APPIER GROUP (OTC),EQ,20230215,NaT
1316,APPM,,APPAREL MNFG.ASSOCS.,EQ,20041005,NaT
1317,APPN,,APPIAN,EQ,20170525,NaT
1318,APPS,,DIGITAL TURBINE,EQ,20060609,NaT
1319,APPTF,,AUTV.PROPS.REIT. (OTC) TST.UTS.,EQ,20230721,NaT
1320,APPZ,,MONSTER OFFERS,EQ,20100309,NaT
1321,APQT,,APPLIQATE,EQ,20181220,NaT
1322,APRAF,,TRAILBREAKER (OTC) RESOURCES,EQ,19600101,NaT
1323,APRE,,APREA THERAPEUTICS,EQ,20191003,NaT
1324,APRM,,AMER.PAC. RIM COM.GP.,EQ,20040525,NaT
1325,APRN,,BLUE APRON HDG.'A',EQ,20170629,
1326,APRO,,ALLEGIANT PROF.BUS.SVS.,EQ,20070514,NaT
1327,APRU,,APPLE RUSH,EQ,20071016,NaT
1328,APSI,,AQUA POWER SYSTEMS,EQ,20140122,NaT
1329,APT,,ALPHA PRO TECH,EQ,20000404,NaT
1330,APTCF,,ADVANCED PROTEOME (OTC) THERAPEUTICS,EQ,20010216,NaT
1331,APTL,,ALASKA PWR TEL,EQ,19901228,NaT
1332,APTO,,APTOSE BIOSCIENCES (NAS),EQ,20100426,NaT
1333,APTPF,,AIRPORTS OF THAI.FB(OTC),EQ,20130603,NaT
1334,APTTF,,ASIAN PAY TV.TST. (OTC) UT.,EQ,20130904,NaT
1335,APTV,,APTIV,EQ,20111117,NaT
1336,APTX,,APTINYX,EQ,20180621,
1337,APTY,,APT SYSTEMS,EQ,20151116,NaT
1338,APVNF,,ARISE TECHNOLOGIES (OTC),EQ,20140113,NaT
1339,APVO,,APTEVO THERAPEUTICS,EQ,20160720,NaT
1340,APVS,,APPLIED VISUAL SCIENCES,EQ,20120726,NaT
1341,APWC,,ASIA PACIFIC WIRE CABLE,EQ,19970326,NaT
1342,APWL,,ADVD.POWERLINE TECHS.,EQ,20040624,NaT
1343,APXI,,APX ACQUISITION I A,EQ,20220128,NaT
1344,APXIU,,APX ACQUISITION I UNITS,EQ,20211207,NaT
1345,APXIW,,APX ACQ.I EQ.WARRT. EXP 30TH NOV 2026,EQ,20220128,NaT
1346,APXYY,,APPEN ADR 2:1,ADR,20210202,NaT
1347,APXZF,,CARASENT (OTC),EQ,20140113,NaT
1348,APYI,,ASPYRA,EQ,19830922,NaT
1349,APYP,,APPYEA,EQ,20141215,NaT
1350,APYRF,,ALLD.PROPS.RLST. (OTC) INVT TST.UTS.,EQ,20070507,NaT
1351,APYX,,APYX MEDICAL,EQ,19830721,NaT
1352,AQB,,AQUABOUNTY TECHS.,EQ,20170111,NaT
1353,AQCP,,AQ,EQ,20020613,NaT
1354,AQFD,,A CLASSIFIED AD,EQ,20190828,NaT
1355,AQIMF,,ALICANTO MINERALS (OTC),EQ,20170224,NaT
1356,AQIS,,AQUIS COMMS.GP.,EQ,19940519,NaT
1357,AQMS,,AQUA METALS,EQ,20150731,NaT
1358,AQN,,ALGONQUIN POWER (NYS),EQ,19600101,NaT
1359,AQNU,,ALGONQUIN POWER AND UTILITIES UNITS,EQ,20210618,NaT
1360,AQPW,,GOLDEN ALLY LIFETECH GROUP,EQ,20120809,NaT
1361,AQQRF,,AQUARIUS SURG.TECH.(OTC),EQ,20170908,NaT
1362,AQQSQ,,AMER.SPTM.REAL.,EQ,20011120,NaT
1363,AQST,,AQUESTIVE THERAPEUTICS,EQ,20180725,NaT
1364,AQSZF,,AEQUUS PHARMS. (OTC),EQ,20150616,NaT
1365,AQU,,AQUARON ACQUISITION,EQ,20221019,NaT
1366,AQUEF,,AQUARIUS ENGINES (A(OTC) M),EQ,20210217,NaT
1367,AQUI,,AQUAGOLD INTERNATIONAL,EQ,20000225,NaT
1368,AQUNU,,AQUARON ACQUISITION UNITS,EQ,20221004,NaT
1369,AR,,ANTERO RESOURCES,EQ,20131010,NaT
1370,ARAAF,,ACLARA RESOURCES (OTC),EQ,20211229,NaT
1371,ARAFF,,ARAFURA RARE EARTHS(OTC),EQ,20070313,NaT
1372,ARAO,,AURASOURCE,EQ,19990331,NaT
1373,ARAT,,ARAX HOLDINGS,EQ,20140219,NaT
1374,ARAV,,ARAVIVE,EQ,20140324,
1375,ARAY,,ACCURAY,EQ,20070207,NaT
1376,ARBB,,ARB IOT GROUP,EQ,20230405,NaT
1377,ARBE,,ARBE ROBOTICS,EQ,20201030,NaT
1378,ARBEW,,ARBE ROBOTICS EQ. WARRT. EXP 7TH OCT 2026,EQ,20201030,NaT
1379,ARBFF,,ARB (OTC),EQ,20140626,NaT
1380,ARBG,,AEQUI ACQUISITION A,EQ,20210111,
1381,ARBGU,,AEQUI ACQUISITION UNITS,EQ,20201120,
1382,ARBH,,ARBORETA HEALTHCARE,EQ,20200601,NaT
1383,ARBK,,ARGO BLOCKCHAIN ADR 1:10,ADR,20210924,NaT
1384,ARBKF,,ARGO BLOCKCHAIN (OTC),EQ,20201218,NaT
1385,ARBTF,,ARGO GOLD (OTC),EQ,20160308,NaT
1386,ARBU,,AMERICAN BUSINESS,EQ,20010212,NaT
1387,ARBV,,AMERICAN RIVIERA BANCORP,EQ,20120729,NaT
1388,ARC,,ARC DOCUMENT SOLUTIONS,EQ,20041020,NaT
1389,ARCAY,,ARCADIS NON NV.ADR 1:1,ADR,19931230,NaT
1390,ARCB,,ARCBEST,EQ,19920513,NaT
1391,ARCE,,ARCO PLATFORM A,EQ,20180926,
1392,ARCH,,ARCH RESOURCES A,EQ,20161005,NaT
1393,ARCNF,,ARCARIO (OTC),EQ,20210519,NaT
1394,ARCO,,ARCOS DORADOS HOLDINGS,EQ,20110415,NaT
1395,ARCS,,ARCIS RESOURCES,EQ,20100818,NaT
1396,ARCT,,ARCTURUS THERAPEUTICS HOLDINGS,EQ,20130522,NaT
1397,ARCUF,,ARCUS DEV.GP. (OTC),EQ,20100312,NaT
1398,ARCVF,,ARCADIS (OTC),EQ,20140113,NaT
1399,ARCXF,,ARCELORMITTAL SA. (OTC),EQ,20140113,NaT
1400,ARDDF,,ARDIDEN (OTC),EQ,20200720,NaT
1401,ARDLF,,COAST ENTERTAINMENT(OTC) HOLDINGS,EQ,20201211,NaT
1402,ARDNF,,ARGENT MINERALS (OTC),EQ,20201231,NaT
1403,ARDS,,ARIDIS PHARMACEUTICALS,EQ,20190124,NaT
1404,ARDX,,ARDELYX,EQ,20140619,NaT
1405,ARE,,ALEXANDRIA RLST.EQTIES.,EQ,19970523,NaT
1406,AREB,,AMERICAN REBEL HOLDINGS,EQ,20180123,NaT
1407,AREC,,AMERICAN RESOURCES A,EQ,20151125,NaT
1408,AREN,,ARENA GROUP HLDGS,EQ,19961121,NaT
1409,ARES,,ARES MANAGEMENT A,EQ,20140502,NaT
1410,ARESF,,ARTIS REIT.TST. (OTC) TRUST UTS.,EQ,20140113,NaT
1411,AREVF,,AREV LIFE SCIENCES (OTC) GLOBAL,EQ,20190430,NaT
1412,ARGC,,ARION GROUP,EQ,20181127,NaT
1413,ARGGY,,ASTON MART.LAGONDA GLB. HDG.ADR 1:1,ADR,20190416,NaT
1414,ARGHF,,STEER TECHNOLOGIES (OTC),EQ,20200430,NaT
1415,ARGL,,ARGYLE SECURITY,EQ,20060302,NaT
1416,ARGNF,,ARGEN-X (OTC),EQ,20150430,NaT
1417,ARGO,,ARGO GP.INTL.HOLDINGS,EQ,19870325,
1418,ARGOPRA,,ARGO GP.INTHDG.1000 DEP,EQ,20200708,NaT
1419,ARGQ,,ARGENTUM 47,EQ,20160602,NaT
1420,ARGTF,,ARTEMIS GOLD (OTC),EQ,20191009,NaT
1421,ARGW,,ARGUS WORLDWIDE,EQ,19970925,NaT
1422,ARGX,,ARGENX SPN.ADR 1:1,ADR,20170518,NaT
1423,ARGYF,,AVANTI HELIUM (OTC),EQ,20150603,NaT
1424,ARHAS,,RSE ARCHIVE MEMB. INT SR.FAUBOURG2 HERMES,EQ,20230605,NaT
1425,ARHDS,,RSE ARCHIVE MEMB. INT SR.34GEHRIG 1934 GOU,EQ,20221118,NaT
1426,ARHES,,RSE ARCHIVE MEMB. INT SR.1962 WILT CHAMBER,EQ,20230914,NaT
1427,ARHFS,,RSE ARCHIVE MEMB. INT SR.1910 HONUS WAGNER,EQ,20230411,NaT
1428,ARHGS,,RSE CLLN.MEMB.INT SR. 1974 INCDBLE HULK 180,EQ,20220711,NaT
1429,ARHHS,,RSE ARCHIVE MEMB. INT SR.1969 SILV.SURFER,EQ,20220722,NaT
1430,ARHJS,,RSE ARCHIVE MEMB. INT SR.PUNCHOUT 1987 MIK,EQ,20221108,NaT
1431,ARHKS,,RSE ARCHIVE MEMB. INT SR.2018 JOSH ALLEN R,EQ,20220919,NaT
1432,ARHLF,,ARCHTIS (OTC),EQ,20220124,NaT
1433,ARHN,,ARCHON,EQ,19930924,NaT
1434,ARHOF,,AMREST HOLDINGS (OTC),EQ,20170120,NaT
1435,ARHQS,,RSE ARCHIVE MEMB. INT SR.1974 AMI.SPIDERMA,EQ,20230105,NaT
1436,ARHS,,ARHAUS A,EQ,20211104,NaT
1437,ARHTF,,ARHT MEDIA (OTC),EQ,19600101,NaT
1438,ARHUF,,AAK (OTC),EQ,20140627,NaT
1439,ARHVF,,ARCHER (OTC),EQ,20110706,NaT
1440,ARHYS,,RSE ARCHIVE MEMB. INT SR.1986 NES POPEYE V,EQ,20220908,NaT
1441,ARI,,APOLLO COML.RLST.FIN.,EQ,20090924,NaT
1442,ARINA,,ARISTA INVESTORS A,EQ,19870612,
1443,ARIS,,ARIS WATER SOLUTIONS A,EQ,20211022,NaT
1444,ARIZF,,AFFINITY METALS (OTC),EQ,19600101,NaT
1445,ARIZU,,ARISZ ACQUISITION UNITS,EQ,20211118,
1446,ARJNF,,ARANJIN RESOURCES (OTC),EQ,20170707,NaT
1447,ARKAF,,ARKEMA (OTC),EQ,20140113,NaT
1448,ARKAY,,ARKEMA SPONSORED FRANCE ADR 1:1,ADR,20060505,NaT
1449,ARKO,,ARKO,EQ,20190723,NaT
1450,ARKOW,,ARKO EQUITY WARRANT EXP 22ND DEC 2025,EQ,20200811,NaT
1451,ARKR,,ARK RESTAURANTS,EQ,19851212,NaT
1452,ARL,,AMER.REAL.INVRS.,EQ,19691002,NaT
1453,ARLLF,,ARGAN NEUILLT SUR (OTC) SEINE,EQ,20171201,NaT
1454,ARLO,,ARLO TECHNOLOGIES,EQ,20180803,NaT
1455,ARLP,,ALLIANCE RSO.PTNS.L P UT LP.,EQ,19990817,NaT
1456,ARLSF,,ARGO LIVING SOILS (OTC),EQ,20211220,NaT
1457,ARLTF,,ARCADIUM LITHIUM (OTC) CDI,EQ,20240117,NaT
1458,ARLUF,,ARISTOCRAT LEISURE (OTC),EQ,20140131,NaT
1459,ARM,,ARM HDG.AMER.DEPY. SHS. 1:1,ADR,20230914,NaT
1460,ARMC,,ASIARIM,EQ,20100308,NaT
1461,ARME,,ARMOR ELECTRIC,EQ,20010109,NaT
1462,ARMK,,ARAMARK,EQ,20131212,NaT
1463,ARMM,,ARMM,EQ,20220321,NaT
1464,ARMN,,ARIS MINING (ASE),EQ,20100824,NaT
1465,ARMP,,ARMATA (ASE) PHARMACEUTICALS,EQ,19940520,NaT
1466,ARMV,,ARMA SVCS,EQ,20220428,NaT
1467,ARMVF,,ATRIUM REIT.TRUST (OTC),EQ,20120328,NaT
1468,ARNC,,ARCONIC,EQ,20200401,
1469,ARNGF,,ARGONAUT GOLD (OTC),EQ,20100315,NaT
1470,ARNI,,ARNO THERAPEUTICS,EQ,20060823,NaT
1471,AROC,,ARCHROCK,EQ,20070821,NaT
1472,AROW,,ARROW FINANCIAL,EQ,19800806,NaT
1473,ARPC,,AREM PACIFIC,EQ,19980709,NaT
1474,ARPTF,,AIRPORT CITY (OTC),EQ,20190607,NaT
1475,ARQ,,ARQ,EQ,20031022,NaT
1476,ARQQ,,ARQIT QUANTUM,EQ,20210401,NaT
1477,ARQQW,,ARQIT QUM.EQ.WARRT. EXP 02 NOV 2026,EQ,20210406,NaT
1478,ARQT,,ARCUTIS BIOTHERAPEUTICS,EQ,20200131,NaT
1479,ARR,,ARMOUR RESIDENTIAL REIT,EQ,20071203,NaT
1480,ARREF,,AMERIGO RESOURCES (OTC),EQ,19931008,NaT
1481,ARRJF,,ARJO B (OTC),EQ,20180821,NaT
1482,ARRKF,,ARRAS MINERALS (OTC),EQ,20220804,NaT
1483,ARRNF,,AMERICAN RARE (OTC) EARTHS,EQ,20180416,NaT
1484,ARRPRC,,ARMOUR RESD.REIT 7 00 CUM.RED.PREF. SR.C,EQ,20200127,NaT
1485,ARRPY,,AEROPORTS DE PARIS ADR 10:1,ADR,20180216,NaT
1486,ARRRF,,ARDEA RESOURCES (OTC),EQ,20170621,NaT
1487,ARRT,,ARTISAN CONSUMER GOODS,EQ,20121010,NaT
1488,ARRWU,,ARROWROOT ACQUISITION UNITS,EQ,20210302,NaT
1489,ARRXF,,ARCHER MATERIALS (OTC),EQ,20190813,NaT
1490,ARRY,,ARRAY TECHNOLOGIES,EQ,20201015,NaT
1491,ARSC,,AMER.SCTY.RES.,EQ,19980804,NaT
1492,ARSEF,,ALTAI RES. (OTC),EQ,20140113,NaT
1493,ARSLF,,ALTIMA RESOURCES (OTC),EQ,20140113,NaT
1494,ARSMF,,ARES STRATEGIC (OTC) MINING,EQ,20120227,NaT
1495,ARSRF,,AERIS RESOURCES (OTC),EQ,20160608,NaT
1496,ARSSF,,ASSURA (OTC),EQ,20200317,NaT
1497,ARSUF,,FAGRON (OTC),EQ,20140424,NaT
1498,ARTD,,ARTISTDIRECT,EQ,20000328,NaT
1499,ARTE,,ARTEMIS STRATEGIC INVESTMENT A,EQ,20211123,
1500,ARTEU,,ARTEMIS STRATEGIC INVESTMENT UNITS,EQ,20210930,
1501,ARTEW,,ARTEMIS STRATEGIC INVT. EQY WARRANT,EQ,20211126,
1502,ARTGF,,AIRTHINGS (OTC),EQ,20210623,NaT
1503,ARTH,,ARCH THERAPEUTICS,EQ,20160602,NaT
1504,ARTL,,ARTELO BIOSCIENCES,EQ,20171114,NaT
1505,ARTLW,,ARTELO BSCS.EQ. WARRT. EXP 20 JE.2024,EQ,20201209,NaT
1506,ARTM,,AMERICAN NORTEL COMMS.,EQ,20020124,NaT
1507,ARTNA,,ARTESIAN RES.'A',EQ,19930630,NaT
1508,ARTNB,,ARTESIAN RESOURCES B,EQ,19840920,NaT
1509,ARTR,,AIRTRONA INTERNATIONAL,EQ,20100512,NaT
1510,ARTTF,,ARTEMIS RESOURCES (OTC),EQ,20170808,NaT
1511,ARTW,,ART'S-WAY MANUFACTURING,EQ,19721214,NaT
1512,ARTZF,,ARTNET (OTC),EQ,20140113,NaT
1513,ARUXF,,ACRUX (OTC),EQ,20140113,NaT
1514,ARVLF,,ARRIVAL,EQ,20200203,NaT
1515,ARVN,,ARVINAS,EQ,20180927,NaT
1516,ARVY,,ALLIANCE RECOVERY,EQ,20060306,NaT
1517,ARW,,ARROW ELECTRONICS,EQ,19620702,NaT
1518,ARWD,,ARROW RESOURCES DEV.,EQ,20120724,NaT
1519,ARWJF,,AROWAY ENERGY (OTC),EQ,19600101,NaT
1520,ARWR,,ARROWHEAD PHARMS.,EQ,20010418,NaT
1521,ARWYF,,ARWAY (OTC),EQ,20221104,NaT
1522,ARXRF,,IMAGINE LITHIUM (OTC),EQ,19600101,NaT
1523,ARYC,,ARRAYIT,EQ,20010405,NaT
1524,ARYD,,ARYA SCIENCES ACQUISITION IV A,EQ,20210226,NaT
1525,ARYE,,ARYA SCIENCES ACQUISITION V A,EQ,20210713,
1526,ARYMF,,ARGOSY MINERALS (OTC),EQ,20140113,NaT
1527,ARYX,,ARYX THERAPEUTICS,EQ,20071106,NaT
1528,ARZGF,,GENERALI (OTC),EQ,20140113,NaT
1529,ARZGY,,ASSIC.GRLI.SPA UNSP. ITALY ADR 2:1,ADR,20081024,NaT
1530,ARZTF,,ARYZTA (OTC),EQ,20080609,NaT
